MET file converted from FVCOM file2014_12Kmwrf.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
0475.500  14.940  23.030  50.082   0.562   4.687
0476.500  14.940  23.030  53.071   0.566   4.728
0477.500  14.940  23.030  54.967   0.571   6.811
0478.500  14.940  23.030  58.471   0.575   8.229
0479.500  14.940  23.030  61.271   0.579   4.131
0480.500  14.940  23.030  59.223   0.583   5.330
0481.500  14.940  23.030  44.805   0.582   5.450
0482.500  14.940  23.030  60.575   0.582   3.089
0483.500  14.940  23.030  50.469   0.581   3.178
0484.500  14.940  23.030  62.006   0.580   3.254
0485.500  14.940  23.030  55.572   0.579   3.150
0486.500  14.940  23.030  42.911   0.578   4.923
0487.500  14.940  23.030  43.648   0.577   6.301
0488.500  14.940  23.030  36.336   0.578   7.963
0489.500  14.940  23.030  60.397   0.579   3.411
0490.500  14.940  23.030  64.607   0.580   3.063
0491.500  14.940  23.030  64.469   0.581   3.055
0492.500  14.940  23.030  25.560   0.582   5.308
0493.500  14.940  23.030  51.330   0.582   5.336
0494.500  14.940  23.030  58.652   0.583   2.999
0495.500  14.940  23.030  66.573   0.583   2.844
0496.500  14.940  23.030  66.674   0.583   2.611
0497.500  14.940  23.030  66.686   0.583   3.085
0498.500  14.940  23.030  65.747   0.583   3.715
0499.500  14.940  23.030  46.427   0.583   4.124
0500.500  14.940  23.030  53.085   0.583   4.911
0501.500  14.940  23.030  61.927   0.583   1.791
0502.500  14.940  23.030  66.244   0.587   1.921
0503.500  14.940  23.030  68.340   0.590   3.486
0504.500  14.940  23.030  68.321   0.594   3.380
0505.500  14.940  23.030  66.352   0.597   2.372
0506.500  14.940  23.030  53.112   0.600   1.945
0507.500  14.940  23.030  43.963   0.604   3.659
0508.500  14.940  23.030  49.160   0.607   2.785
0509.500  14.940  23.030  53.453   0.613   1.991
0510.500  14.940  23.030  68.876   0.619   2.019
0511.500  14.940  23.030  67.567   0.625   2.442
0512.500  14.940  23.030  57.871   0.631   3.385
0513.500  14.940  23.030  63.312   0.637   3.545
0514.500  14.940  23.030  71.684   0.643   5.080
0515.500  14.940  23.030  70.809   0.649   2.849
0516.500  14.940  23.030  71.152   0.651   3.393
0517.500  14.940  23.030  71.620   0.654   3.290
0518.500  14.940  23.030  71.229   0.656   3.888
0519.500  14.940  23.030  71.633   0.659   2.808
0520.500  14.940  23.030  72.957   0.662   3.302
0521.500  14.940  23.030  72.872   0.664   4.157
0522.500  14.940  23.030  67.647   0.667   2.562
0523.500  14.940  23.030  58.495   0.662   2.525
0524.500  14.940  23.030  72.949   0.656   3.872
0525.500  14.940  23.030  71.687   0.651   3.007
0526.500  14.940  23.030  59.338   0.646   2.821
0527.500  14.940  23.030  40.500   0.641   3.388
0528.500  14.940  23.030  28.103   0.636   4.370
0529.500  14.940  23.030  47.480   0.631   3.209
0530.500  14.940  23.030  44.485   0.635   3.221
0531.500  14.940  23.030  71.612   0.639   2.172
0532.500  14.940  23.030  72.353   0.644   3.253
0533.500  14.940  23.030  67.555   0.648   3.011
0534.500  14.940  23.030  67.814   0.652   3.855
0535.500  14.940  23.030  49.967   0.656   3.133
0536.500  14.940  23.030  73.087   0.661   3.625
